# Time-averaged data for fix 4
# TimeStep c_3[1] c_3[2] c_3[3] c_3[4]
0 9.17405 9.4581 9.09431 27.7265
2 9.16817 9.4264 9.0786 27.6732
4 9.1194 9.34972 9.01833 27.4874
6 9.02804 9.22859 8.91396 27.1706
8 8.89471 9.06387 8.76628 26.7249
10 8.72033 8.85673 8.57639 26.1534
12 8.50614 8.60862 8.34568 25.4604
14 8.25364 8.32129 8.07583 24.6508
16 7.96461 7.99674 7.76876 23.7301
18 7.64106 7.63721 7.42667 22.7049
20 7.28521 7.24514 7.05194 21.5823
22 6.89949 6.82317 6.6472 20.3699
24 6.48649 6.3741 6.21521 19.0758
26 6.04891 5.90086 5.7589 17.7087
28 5.5896 5.40647 5.28131 16.2774
30 5.11149 4.89406 4.78562 14.7912
32 4.61754 4.36682 4.27504 13.2594
34 4.11078 3.82798 3.75286 11.6916
36 3.59424 3.28076 3.22236 10.0974
38 3.07096 2.72842 2.68686 8.48624
40 2.54393 2.17416 2.14962 6.86771
42 2.01611 1.62116 1.61386 5.25113
44 1.49041 1.0725 1.08274 3.64565
46 0.969657 0.531207 0.559304 2.06017
48 0.456579 0.000206565 0.0465034 0.503289
50 -0.0461887 -0.517699 -0.45286 -1.01675
52 -0.536133 -1.01984 -0.936131 -2.49211
54 -1.01087 -1.5037 -1.40083 -3.9154
56 -1.46817 -1.96692 -1.84464 -5.27974
58 -1.90593 -2.40734 -2.26549 -6.57876
60 -2.32225 -2.82297 -2.66146 -7.80668
62 -2.71538 -3.21203 -3.0309 -8.95832
64 -3.08375 -3.57298 -3.37237 -10.0291
66 -3.42599 -3.90447 -3.68465 -11.0151
68 -3.74093 -4.20539 -3.96677 -11.9131
70 -4.02759 -4.47486 -4.21801 -12.7205
72 -4.2852 -4.71224 -4.43785 -13.4353
74 -4.5132 -4.91712 -4.62602 -14.0563
76 -4.71122 -5.08932 -4.78247 -14.583
78 -4.8791 -5.22888 -4.90738 -15.0154
80 -5.01689 -5.33606 -5.00113 -15.3541
82 -5.12482 -5.41137 -5.0643 -15.6005
84 -5.20333 -5.45547 -5.09769 -15.7565
86 -5.25301 -5.46926 -5.10227 -15.8245
88 -5.27466 -5.45381 -5.0792 -15.8077
90 -5.26922 -5.41035 -5.02978 -15.7093
92 -5.23779 -5.34029 -4.95548 -15.5336
94 -5.18164 -5.24519 -4.85789 -15.2847
96 -5.10212 -5.12674 -4.73874 -14.9676
98 -5.00074 -4.98672 -4.59981 -14.5873
100 -4.87909 -4.82704 -4.443 -14.1491
102 -4.73884 -4.64967 -4.27025 -13.6588
104 -4.58173 -4.45663 -4.08352 -13.1219
106 -4.40955 -4.24996 -3.88483 -12.5443
108 -4.22414 -4.03173 -3.67615 -11.932
110 -4.02732 -3.804 -3.45947 -11.2908
112 -3.82095 -3.56879 -3.23672 -10.6265
114 -3.60687 -3.32811 -3.00979 -9.94477
116 -3.3869 -3.08388 -2.78052 -9.25131
118 -3.16283 -2.83798 -2.55069 -8.55149
120 -2.93638 -2.59221 -2.32198 -7.85058
122 -2.70926 -2.34828 -2.09602 -7.15357
124 -2.48308 -2.1078 -1.87435 -6.46524
126 -2.25939 -1.87228 -1.65841 -5.79009
128 -2.03966 -1.64313 -1.44956 -5.13235
130 -1.82525 -1.42165 -1.24904 -4.49594
132 -1.61744 -1.20901 -1.058 -3.88445
134 -1.41741 -1.00625 -0.877485 -3.30114
136 -1.22621 -0.814303 -0.708404 -2.74892
138 -1.0448 -0.633974 -0.551561 -2.23034
140 -0.874022 -0.465942 -0.407627 -1.74759
142 -0.714581 -0.310764 -0.277152 -1.3025
144 -0.567083 -0.168877 -0.160553 -0.896513
146 -0.432004 -0.0405962 -0.0581162 -0.530717
148 -0.309699 0.0738739 0.0300078 -0.205817
150 -0.200403 0.174448 0.1038 0.0778451
